ngrdcol,iterations,nz,tasks,total_runs,total,compute_i,baseline,advance_clubb_core_api,output_multi_col,mainloop,acc_data_copyin_r,runloop_r,mainloop_r,loop_init_r,advance_clubb_core_api_r,acc_data_create_r,i_loops_r,ik_loops_r,ik_loops_big_r,penta_lu_solve_multiple_rhs_lhs_r,tridiag_lu_solve_multiple_rhs_lhs_r,fill_holes_r,penta_lu_solve_single_rhs_multiple_lhs_r,setup_pdf_parameters_r,SILHS_r,microphys_r,loop_end_r,output_multi_col_r
36,870,45,36,9,3.9964840412139893,0.0001762141771344948,2.616727034250895,0.0,0.0,0.0,0.0,1.2,0.13333333333333333,0.005666666666666666,0.10266666666666667,0.00011111111111111112,0.00022222222222222223,0.0057777777777777775,0.0067777777777777775,0.0035555555555555557,0.002111111111111111,0.0016666666666666666,0.0015555555555555557,0.0047777777777777775,0.004333333333333333,0.004333333333333333,0.004333333333333333,0.004222222222222222
72,870,45,36,8,3.9641950130462646,0.0001948842143647059,2.6078008810679116,0.0,0.0,0.0,0.0,1.37,0.17125,0.006,0.142875,0.000125,0.000125,0.007375,0.008625,0.007375,0.003875,0.003875,0.003125,0.00425,0.00375,0.003875,0.003875,0.00375
108,870,45,36,8,4.432174921035767,0.0002603789284768233,2.6199375788370767,0.0,0.0,0.0,0.0,1.799,0.224875,0.00675,0.197125,0.000125,0.00025,0.01075,0.012875,0.011,0.005625,0.00575,0.004625,0.004,0.0035,0.0035,0.0035,0.0035
144,870,45,36,7,4.515737533569336,0.0003039760542620579,2.6645233631134033,0.0,0.0,0.0,0.0,1.779,0.2541428571428571,0.0074285714285714285,0.22585714285714284,0.00014285714285714287,0.00014285714285714287,0.011285714285714286,0.015142857142857142,0.01457142857142857,0.007285714285714285,0.007571428571428571,0.006142857142857143,0.0041428571428571434,0.003428571428571429,0.0035714285714285718,0.0035714285714285718,0.003428571428571429
180,870,45,36,7,4.795446872711182,0.0003514961264599329,2.6548354625701904,0.0,0.0,0.0,0.0,2.199,0.314,0.008571428571428572,0.28500000000000003,0.00014285714285714287,0.00028571428571428574,0.014857142857142857,0.019571428571428573,0.018142857142857145,0.009,0.009428571428571429,0.007571428571428571,0.0041428571428571434,0.0032857142857142855,0.003428571428571429,0.003428571428571429,0.0032857142857142855
216,870,45,36,7,5.055819272994995,0.0004065006889798436,2.5802300771077475,0.0,0.0,0.0,0.0,2.387,0.341,0.009285714285714286,0.3108571428571429,0.00014285714285714287,0.00028571428571428574,0.015571428571428571,0.020857142857142855,0.021857142857142856,0.010714285714285714,0.011142857142857144,0.009142857142857144,0.004428571428571428,0.0032857142857142855,0.003428571428571429,0.003428571428571429,0.0032857142857142855
252,870,45,36,7,5.592217683792114,0.0004885277985613007,2.6170833905537925,0.0,0.0,0.0,0.0,2.816,0.40228571428571425,0.010285714285714285,0.3711428571428571,0.00014285714285714287,0.00028571428571428574,0.019,0.02557142857142857,0.02542857142857143,0.012428571428571428,0.013142857142857142,0.01057142857142857,0.004428571428571428,0.0032857142857142855,0.003428571428571429,0.003428571428571429,0.0032857142857142855
288,870,45,36,6,5.151751518249512,0.0004832033453316524,2.629430055618286,0.0,0.0,0.0,0.0,2.548,0.42450000000000004,0.011000000000000001,0.3925,0.00016666666666666666,0.0003333333333333333,0.0195,0.02766666666666667,0.029166666666666664,0.014166666666666668,0.014833333333333332,0.012166666666666666,0.004666666666666667,0.0033333333333333335,0.0033333333333333335,0.0033333333333333335,0.0033333333333333335
324,870,45,36,6,5.645892381668091,0.000582783295276978,2.6037635803222656,0.0,0.0,0.0,0.0,2.946,0.4908333333333333,0.012333333333333333,0.4575,0.00016666666666666666,0.0003333333333333333,0.023000000000000003,0.033,0.033,0.016,0.016666666666666666,0.013666666666666667,0.004833333333333334,0.0031666666666666666,0.0033333333333333335,0.0033333333333333335,0.0031666666666666666
360,870,45,36,6,5.659552812576294,0.0005813169601167603,2.625078280766805,0.0,0.0,0.0,0.0,3.08,0.5131666666666667,0.012666666666666666,0.4796666666666667,0.00016666666666666666,0.0003333333333333333,0.023499999999999997,0.034499999999999996,0.03666666666666667,0.017666666666666667,0.0185,0.015166666666666667,0.004833333333333334,0.0031666666666666666,0.0033333333333333335,0.0033333333333333335,0.0031666666666666666
