ngrdcol,iterations,nz,tasks,total_runs,total,compute_i,baseline,advance_clubb_core_api,output_multi_col,mainloop,acc_data_copyin_r,runloop_r,mainloop_r,loop_init_r,advance_clubb_core_api_r,acc_data_create_r,i_loops_r,ik_loops_r,ik_loops_big_r,penta_lu_solve_multiple_rhs_lhs_r,tridiag_lu_solve_multiple_rhs_lhs_r,fill_holes_r,penta_lu_solve_single_rhs_multiple_lhs_r,setup_pdf_parameters_r,SILHS_r,microphys_r,loop_end_r,output_multi_col_r
128,870,34,128,9,2.7252357006073,0.0002444434947488459,0.8112431367238363,0.0,0.0,0.0,0.0,2.027,0.22522222222222224,0.012333333333333333,0.12000000000000001,0.00011111111111111112,0.00022222222222222223,0.006333333333333333,0.009444444444444445,0.001888888888888889,0.0011111111111111111,0.0016666666666666666,0.0008888888888888889,0.017444444444444443,0.016444444444444442,0.016444444444444442,0.016555555555555556,0.016444444444444442
256,870,34,128,8,2.6885619163513184,0.00028129793218269205,0.7307283083597819,0.0,0.0,0.0,0.0,1.967,0.24575,0.011375,0.15875,0.000125,0.00025,0.009875,0.012375,0.003625,0.001875,0.0035,0.001625,0.014125,0.013375,0.013375,0.0135,0.01325
384,870,34,128,8,2.987684965133667,0.00031664379483438545,0.7838441530863444,0.0,0.0,0.0,0.0,2.205,0.275625,0.010125,0.2115,0.000125,0.00025,0.014375,0.01675,0.00525,0.00275,0.00525,0.00225,0.010625,0.00925,0.009375,0.0095,0.00925
512,870,34,128,7,2.5998878479003906,0.00030677847087089654,0.7316069602966309,0.0,0.0,0.0,0.0,1.853,0.26471428571428574,0.011714285714285715,0.17842857142857144,0.00014285714285714287,0.00028571428571428574,0.008142857142857143,0.014285714285714287,0.0071428571428571435,0.0037142857142857142,0.0071428571428571435,0.0031428571428571426,0.014,0.013,0.013142857142857142,0.013285714285714286,0.013142857142857142
640,870,34,128,7,2.80930495262146,0.0003391175043015253,0.7440793514251709,0.0,0.0,0.0,0.0,2.002,0.286,0.010857142857142857,0.2132857142857143,0.00014285714285714287,0.00028571428571428574,0.011,0.017142857142857144,0.008714285714285714,0.004428571428571428,0.008285714285714287,0.003857142857142857,0.011714285714285715,0.010857142857142857,0.010857142857142857,0.011,0.010857142857142857
768,870,34,128,7,3.0185446739196777,0.00037320524078937064,0.7457247575124105,0.0,0.0,0.0,0.0,2.194,0.31342857142857145,0.010142857142857143,0.25742857142857145,0.00014285714285714287,0.00028571428571428574,0.015,0.020714285714285713,0.010714285714285714,0.005285714285714285,0.010142857142857143,0.004714285714285714,0.009,0.007857142857142858,0.007857142857142858,0.008,0.007857142857142858
896,870,34,128,7,3.432996988296509,0.0004401758451832404,0.7523260911305746,0.0,0.0,0.0,0.0,2.684,0.38342857142857145,0.010714285714285714,0.33185714285714285,0.00014285714285714287,0.00028571428571428574,0.020857142857142855,0.026857142857142857,0.013571428571428571,0.006285714285714285,0.012285714285714285,0.005857142857142858,0.008428571428571428,0.006857142857142858,0.006857142857142858,0.007,0.006714285714285714
1024,870,34,128,6,2.768939971923828,0.00038581791204206486,0.7549704710642496,0.0,0.0,0.0,0.0,1.994,0.33216666666666667,0.009666666666666667,0.28583333333333333,0.00016666666666666666,0.0003333333333333333,0.014333333333333332,0.023000000000000003,0.017666666666666667,0.007333333333333333,0.014499999999999999,0.007333333333333333,0.007333333333333333,0.006166666666666667,0.006166666666666667,0.006333333333333333,0.006166666666666667
1152,870,34,128,6,3.1071951389312744,0.00045275385200139963,0.7438200314839681,0.0,0.0,0.0,0.0,2.274,0.379,0.010166666666666666,0.334,0.00016666666666666666,0.0003333333333333333,0.017666666666666667,0.028833333333333332,0.02,0.008,0.0155,0.008333333333333333,0.007,0.005833333333333334,0.005833333333333334,0.005999999999999999,0.005833333333333334
1280,870,34,128,6,3.3593952655792236,0.0005009642962751717,0.7443616390228271,0.0,0.0,0.0,0.0,2.596,0.43250000000000005,0.011333333333333334,0.38799999999999996,0.00016666666666666666,0.0003333333333333333,0.021666666666666667,0.0325,0.021833333333333333,0.009,0.017499999999999998,0.009166666666666667,0.006833333333333334,0.0055000000000000005,0.0055000000000000005,0.005666666666666667,0.0055000000000000005
1408,870,34,128,6,3.9184463024139404,0.0006106970867434681,0.7306075096130371,0.0,0.0,0.0,0.0,3.131,0.5218333333333333,0.013,0.47750000000000004,0.00016666666666666666,0.0003333333333333333,0.02766666666666667,0.042166666666666665,0.026166666666666668,0.0105,0.020833333333333332,0.0105,0.0065,0.005,0.005166666666666667,0.005333333333333333,0.005166666666666667
1536,870,34,128,6,3.528877019882202,0.0005336918441119626,0.7430055936177572,0.0,0.0,0.0,0.0,2.723,0.45366666666666666,0.011666666666666667,0.40349999999999997,0.00016666666666666666,0.0003333333333333333,0.02,0.03383333333333333,0.027333333333333334,0.011000000000000001,0.0205,0.011166666666666667,0.008,0.0065,0.0065,0.006666666666666667,0.0065
1664,870,34,128,6,4.246667146682739,0.0006673414588431289,0.7631447315216064,0.0,0.0,0.0,0.0,3.519,0.5863333333333333,0.0155,0.5398333333333333,0.00016666666666666666,0.0005,0.0285,0.050166666666666665,0.03266666666666667,0.012499999999999999,0.025166666666666667,0.013166666666666667,0.0065,0.005,0.005166666666666667,0.005166666666666667,0.005
1792,870,34,128,6,4.132018089294434,0.0006486831801452246,0.7458918889363607,0.0,0.0,0.0,0.0,3.314,0.5521666666666667,0.014166666666666668,0.5073333333333333,0.00016666666666666666,0.0003333333333333333,0.026833333333333334,0.04416666666666667,0.029666666666666664,0.012833333333333334,0.0255,0.012499999999999999,0.006333333333333333,0.005,0.005,0.005166666666666667,0.005
1920,870,34,128,6,4.236713409423828,0.0006664335499321364,0.7579302787780762,0.0,0.0,0.0,0.0,3.408,0.568,0.013666666666666667,0.5231666666666667,0.00016666666666666666,0.0003333333333333333,0.02766666666666667,0.044500000000000005,0.028833333333333332,0.013666666666666667,0.02666666666666667,0.012333333333333333,0.0065,0.005,0.005166666666666667,0.005333333333333333,0.005166666666666667
2048,870,34,128,5,3.6517772674560547,0.0006695802001660811,0.7391033967336019,0.0,0.0,0.0,0.0,2.852,0.5702,0.014000000000000002,0.524,0.0002,0.0004,0.024,0.0426,0.0346,0.0156,0.0312,0.014199999999999999,0.0066,0.005,0.0054,0.0056,0.0052
2304,870,34,128,5,4.100951910018921,0.0007731026251197318,0.7379554907480875,0.0,0.0,0.0,0.0,3.293,0.6584,0.0166,0.6108,0.0002,0.0004,0.03,0.0526,0.0356,0.0172,0.0346,0.015,0.007000000000000001,0.0048000000000000004,0.005,0.0052,0.0048000000000000004
2560,870,34,128,5,4.176532506942749,0.0007904086167784943,0.7382550239562988,0.0,0.0,0.0,0.0,3.459,0.6918,0.016800000000000002,0.646,0.0002,0.0004,0.032,0.0514,0.0442,0.0182,0.0348,0.0184,0.0062,0.0046,0.0048000000000000004,0.0048000000000000004,0.0048000000000000004
2816,870,34,128,5,5.008603572845459,0.0009787043940518551,0.7512394587198893,0.0,0.0,0.0,0.0,4.143,0.8284,0.0234,0.773,0.0002,0.0006000000000000001,0.0356,0.0752,0.046,0.022,0.0434,0.0188,0.0076,0.0048000000000000004,0.005,0.0052,0.0048000000000000004
3072,870,34,128,5,5.059004306793213,0.0009936308038645777,0.7367103099822998,0.0,0.0,0.0,0.0,4.441,0.8880000000000001,0.0216,0.834,0.0002,0.0006000000000000001,0.039,0.0702,0.0484,0.025,0.0518,0.020999999999999998,0.0072,0.005,0.0052,0.0052,0.005
3328,870,34,128,5,5.739516973495483,0.001147181905549148,0.7492756843566895,0.0,0.0,0.0,0.0,4.829,0.9656,0.0254,0.9087999999999999,0.0002,0.0008,0.0434,0.08940000000000001,0.0588,0.0264,0.0498,0.022600000000000002,0.0072,0.0046,0.0048000000000000004,0.0052,0.0046
3584,870,34,128,5,5.305609941482544,0.001047689138244395,0.7481621901194254,0.0,0.0,0.0,0.0,4.454,0.8906000000000001,0.0212,0.8398,0.0002,0.0006000000000000001,0.037,0.0754,0.05620000000000001,0.0268,0.0576,0.023799999999999998,0.0064,0.0046,0.0048000000000000004,0.005,0.0048000000000000004
3840,870,34,128,5,6.919894695281982,0.0014135915383525278,0.7707715034484863,0.0,0.0,0.0,0.0,6.017,1.2029999999999998,0.0366,1.134,0.0002,0.0008,0.0502,0.10880000000000001,0.0758,0.0322,0.0588,0.027800000000000002,0.0082,0.0046,0.0048000000000000004,0.005,0.0046
4096,870,34,128,4,6.386305570602417,0.001617699564645117,0.7567110856374105,0.0,0.0,0.0,0.0,5.424,1.3555,0.04275,1.28075,0.00025,0.001,0.05625,0.121,0.08425,0.03375,0.0555,0.0305,0.008,0.00425,0.00475,0.005,0.0045
8192,870,34,128,3,17.176791429519653,0.006285136321495319,0.7725856304168701,0.0,0.0,0.0,0.0,16.126,5.373333333333334,0.16633333333333333,5.160666666666667,0.0006666666666666666,0.005333333333333333,0.24066666666666667,0.48433333333333334,0.3336666666666666,0.131,0.12966666666666668,0.15133333333333335,0.013666666666666667,0.005,0.005666666666666667,0.006333333333333333,0.005333333333333333
16384,870,34,128,2,34.532418727874756,0.019366377203857303,0.8349223931630453,0.0,0.0,0.0,0.0,33.77,16.883,0.4295,16.4065,0.0005,0.015,0.9015,1.585,0.917,0.4935,0.2805,0.3825,0.0145,0.0045,0.0055,0.006,0.0045
32768,870,34,128,1,61.996500730514526,0.07019498932864017,0.9268600145975748,0.0,0.0,0.0,0.0,61.02,61.007,1.452,59.5,0.001,0.053,3.236,5.833,3.312,1.266,0.434,1.251,0.022,0.003,0.005,0.008,0.003
65536,870,34,128,1,136.59391975402832,0.15570255348965584,1.1326982180277507,0.0,0.0,0.0,0.0,135.414,135.383,2.727,132.594,0.001,0.095,7.135,12.927,9.636,4.227,1.313,3.864,0.027,0.003,0.006,0.007,0.003

# Timing script options
# - ngrdcol_max = 65536
# - tasks = 128 -- results in a max of 512 columns per task
# - working dir = /glade/u/home/huebler/Code/clubb_performance_testing_feb25/clubb_7763_2x_intel/run_scripts
# - hostname = dec2437 : dec2437.de.hpc.ucar.edu
# - git hash = f9484b3cd6e900baa67a97d868e9b31af041637a
# - tweaked_params = C8,C6rt,C6thl,beta
# - gpu used = False
# - module list = ncarenv-basic/23.09:intel/2024.2.1:craype/2.7.31:ncarcompilers/1.0.0:gcc-toolchain/13.2.0:cray-mpich/8.1.29:hdf5/1.14.3:netcdf/4.9.2:gptl/8.1.1:conda/latest

# Metadata from clubb.in (the parameters listed are only the last set tested)
# &multicol_def
# ngrdcol = 512
# l_output_multi_col = .false.
# calls_per_out = 1
# /
# &clubb_params_nl
# C1 = 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, ... 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
# C1b = 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0,... 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
# C1c = 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0,... 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
