ngrdcol,iterations,total_runs,total,compute_i,baseline,acc_data_copyin_r,runloop_r,mainloop_r,advance_clubb_core_api_r,acc_data_create_r,i_loops_r,ik_loops_r,penta_lu_solve_multiple_rhs_lhs_r,tridiag_lu_solve_multiple_rhs_lhs_r,fill_holes_r,penta_lu_solve_single_rhs_multiple_lhs_r,output_multi_col_r
20480,870,1,131.9060091972351,0.1483137189200098,2.8730737368265786,0.0,128.016,128.001,125.657,0.001,0.021,9.98,3.821,1.436,0.539,1.37,0.004
24576,870,1,166.9585156440735,0.188607012083704,2.870415131251017,0.0,162.903,162.885,160.042,0.001,0.025,12.608,4.841,1.736,0.679,1.795,0.004
28672,870,1,204.22582030296326,0.23134890479603032,2.95227313041687,0.0,199.768,199.747,196.295,0.001,0.029,15.272,5.965,2.069,0.772,2.43,0.004
32768,870,1,241.97485375404358,0.2746235776221615,3.0523412227630615,0.0,237.141,237.117,233.212,0.001,0.033,17.333,6.883,2.346,1.312,2.996,0.004
65536,870,1,558.5880870819092,0.6383981815243133,3.1816691557566323,0.0,551.932,551.885,543.498,0.002,0.063,37.424,16.526,5.456,5.697,8.562,0.004

# Timing script options
# - ngrdcol_max = 65536
# - tasks = 128 -- results in a max of 512 columns per task
# - working dir = /glade/u/home/huebler/Code/clubb_performance_testing_feb25/clubb_7763_2x_intel/run_scripts
# - hostname = dec2325 : dec2325.de.hpc.ucar.edu
# - git hash = 6c5035e6e1271d0d8df19d5fe24c424e0592abf0
# - tweaked_params = C8,C6rt,C6thl,beta
# - gpu used = False
# - module list = ncarenv/23.06:craype/2.7.20:cray-mpich/8.1.25:ncarcompilers/1.0.0:intel/2023.0.0:hdf5/1.12.2:netcdf/4.9.2:gptl/8.1.1

# Metadata from clubb.in (the parameters listed are only the last set tested)
# &multicol_def
# ngrdcol = 512
# l_output_multi_col = .false.
# calls_per_out = 1
# /
# &clubb_params_nl
