 0.191 1.163 2.305 3.043 3.215
 3.33 3.592 3.963 4.238 3.963
 4.218 3.865 4.2 3.969 4.306
 3.877 4.131 4.574 5.641 5.386
 4.617 3.988 4.143 4.458 4.85
 4.445 4.628 5.134 5.673 5.559
 5.757 6.419 7.07 8.495 9.268
 9.071 8.088 7.167 7.356 8.309
 9.254 9.311 7.249 3.96 0.186
 -2.061 -2.187 -0.73 1.021 2.581
 4.192 5.195 4.812 4.185 3.609
 1.659 -2.142 -5.201 -6.114 -5.176
 -4.447 -4.4 -4.466 -3.755 -2.442
 -0.974 0.299 1.387 2.005 2.41
 2.952 3.376 2.882 2.8 2.91
 3.278 2.827 2.185 1.967 2.443
 3.289 4.64 5.509 5.422 5.139
 5.219 5.851 5.769 6.085 6.703
 7.532 6.695 5.031 3.73 3.604
 3.928 4.911 5.204 4.748 4.002
 3.826 4.058 4.305 4.116 4.296
 5.093 5.925 5.829 5.073 4.535
 4.356 4.578 5.51 6.015 6.616
 6.528 6.384 5.98 6.072 6.43
 6.93 8.323 9.304 9.748 8.934
 8.039 7.694 7.862 8.15 8.64
 8.924 8.391 7.566 6.43 6.493
 6.546 6.553 6.034 4.542 2.203
 -0.27 -2.123 -2.879 -2.293 -0.62
 0.574 1.194 1.426 1.885 1.852
 2.104 3.045 4.219 4.954 4.472
 3.745 3.603 3.912 4.535 5.112
 5.739 6.166 5.76 4.429 3.076
 3.284 3.988 4.511 4.303
 1.031 2.237 3.513 4.403 4.464
 4.458 4.861 5.7 6.593 7.106
 7.537 7.521 7.059 6.373 6.038
 6.053 6.382 6.992 7.631 7.626
 6.991 5.987 6.454 7.24 8.07
 7.417 7.04 7.165 7.413 7.088
 7.116 7.971 9.426 11.322 12.656
 12.611 11.243 10.067 9.796 10.39
 11.362 11.148 8.705 4.112 -0.689
 -3.163 -3.099 -1.067 1.218 3.847
 6.064 6.873 5.854 4.206 3.553
 1.452 -1.979 -5.976 -7.751 -7.331
 -6.564 -6.24 -5.763 -4.551 -3.152
 -1.894 -0.96 0.154 0.963 1.692
 2.542 3.377 2.99 3.067 3.521
