ngrdcol,iterations,nz,tasks,total_runs,total,compute_i,baseline,advance_clubb_core_api,output_multi_col,mainloop,acc_data_copyin_r,runloop_r,mainloop_r,loop_init_r,advance_clubb_core_api_r,acc_data_create_r,i_loops_r,ik_loops_r,ik_loops_big_r,penta_lu_solve_multiple_rhs_lhs_r,tridiag_lu_solve_single_rhs_multiple_lhs_r,tridiag_lu_solve_multiple_rhs_lhs_r,fill_holes_r,penta_lu_solve_single_rhs_multiple_lhs_r,setup_pdf_parameters_r,SILHS_r,microphys_r,loop_end_r,output_multi_col_r
4096,870,268,4,1,16.10701823234558,0.013056486045720475,4.747875372568767,0.0,0.0,0.0,0.049,12.035,12.035,0.199,11.832,0.15,0.039,0.362,0.293,0.655,0.001,0.574,0.596,0.422,0.001,0.0,0.0,0.0,0.0
8192,870,268,4,1,20.25735902786255,0.0173734901508609,5.142422596613566,0.0,0.0,0.0,0.061,14.893,14.892,0.213,14.676,0.159,0.039,0.483,0.456,0.729,0.001,0.636,0.608,0.702,0.001,0.0,0.0,0.0,0.0
16384,870,268,4,1,25.015905141830444,0.022877756937253524,5.112256606419881,0.0,0.0,0.0,0.075,19.428,19.427,0.248,19.175,0.159,0.04,0.737,0.77,0.794,0.001,0.735,0.638,0.77,0.001,0.0,0.0,0.0,0.0
32768,870,268,4,1,34.77680993080139,0.03316162354187947,5.926197449366252,0.0,0.0,0.0,0.079,28.704,28.703,0.319,28.381,0.157,0.04,1.264,1.41,0.889,0.002,0.842,0.847,0.825,0.001,0.0,0.0,0.0,0.0
65536,870,268,4,1,55.46583700180054,0.05460822892828463,7.956677834192912,0.0,0.0,0.0,0.145,47.398,47.397,0.447,46.947,0.157,0.042,2.298,2.628,1.056,0.002,0.97,0.915,0.941,0.001,0.0,0.0,0.0,0.0
131072,870,268,4,1,95.58301305770874,0.09727333943962593,10.955207745234171,0.0,0.0,0.0,0.929,83.635,83.634,0.698,82.933,0.399,0.043,4.35,5.062,2.06,0.002,1.22,0.962,1.188,0.001,0.0,0.0,0.0,0.0
262144,870,268,4,1,171.12690544128418,0.17850308372599868,15.829222599665323,0.0,0.0,0.0,0.79,157.096,157.095,1.196,155.896,0.621,0.046,8.402,9.727,4.36,0.003,2.284,1.079,1.902,0.001,0.0,0.0,0.0,0.0

# Timing script options
# - ngrdcol_max = 262144
# - tasks = 4 -- results in a max of 65536 columns per task
# - working dir = /glade/u/home/huebler/Code/clubb_performance_testing_feb25/clubb_A100_nvhpc/run_scripts
# - hostname = deg0065 : deg0065.de.hpc.ucar.edu
# - git hash = f9484b3cd6e900baa67a97d868e9b31af041637a
# - tweaked_params = C8,C6rt,C6thl,beta
# - gpu used = True
# - module list = ncarenv/24.12:craype/2.7.31:conda/latest:nvhpc/24.11:ncarcompilers/1.0.0:hdf5/1.12.3:netcdf/4.9.2:cuda/12.3.2:libfabric/1.15.2.0:cray-mpich/8.1.29:gptl/8.1.1

# Metadata from clubb.in (the parameters listed are only the last set tested)
# &multicol_def
# ngrdcol = 65536
# l_output_multi_col = .false.
# calls_per_out = 1
# /
# &clubb_params_nl
