Kernel Name,Number of Calls,Average Duration (s),Total Bytes,Total FLOPs (SP),Total FLOPs (DP),Total FLOPs (HP),AI (SP),AI (DP),AI (HP),Achieved Performance (SP),Achieved Performance (DP),Achieved Performance (HP)
pdf_closure_module_calc_wp4_pdf_1959_1,1,0.000343,483068328,0,192000588,17182932,0.000000,0.397461,0.035570,0.000000,0.559494,0.050071
pdf_closure_module_pdf_closure_913_1,1,0.000245,333455857,0,17396940,0,0.000000,0.052172,0.000000,0.000000,0.071001,0.000000
saturation_sat_mixrat_liq_2d_379_4,1,0.000107,124327845,0,174969763,17485622,0.000000,1.407326,0.140641,0.000000,1.630720,0.162966
saturation_sat_mixrat_liq_2d_497_4,1,0.000152,198682234,17197704,148250578,0,0.086559,0.746169,0.000000,0.113405,0.977597,0.000000
saturation_sat_mixrat_liq_2d_379_5,1,0.000107,124748376,0,174738260,17303072,0.000000,1.400726,0.138704,0.000000,1.626622,0.161073
saturation_sat_mixrat_liq_2d_497_5,1,0.000149,199059520,17463380,148438730,0,0.087729,0.745700,0.000000,0.117009,0.994578,0.000000
pdf_closure_module_pdf_closure_981_1,1,0.000196,261413327,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
pdf_closure_module_transform_pdf_chi_eta_component_1839_1,1,0.000356,474429101,16982988,340431714,0,0.035797,0.717561,0.000000,0.047744,0.957043,0.000000
pdf_closure_module_transform_pdf_chi_eta_component_1866_1,1,0.000446,610938318,0,480133686,0,0.000000,0.785896,0.000000,0.000000,1.076572,0.000000
pdf_utilities_smooth_corr_quotient_1405_2,1,0.000358,267279814,34950420,620952462,17086872,0.130763,2.323230,0.063929,0.097527,1.732723,0.047680
pdf_closure_module_calc_liquid_cloud_frac_component_2518_1,1,0.000197,262037286,0,8692615,0,0.000000,0.033173,0.000000,0.000000,0.044091,0.000000
pdf_closure_module_calc_ice_cloud_frac_component_2645_1,1,0.000255,336108805,0,0,16326960,0.000000,0.000000,0.048576,0.000000,0.000000,0.064138
pdf_closure_module_calc_ice_cloud_frac_component_2645_2,1,0.000137,262354,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
pdf_closure_module_transform_pdf_chi_eta_component_1839_2,1,0.000355,473942836,16862120,340308240,0,0.035578,0.718036,0.000000,0.047459,0.957816,0.000000
pdf_closure_module_transform_pdf_chi_eta_component_1866_2,1,0.000446,611040302,0,480603420,0,0.000000,0.786533,0.000000,0.000000,1.078321,0.000000
pdf_utilities_smooth_corr_quotient_1405_3,1,0.000357,267216498,34792020,619684534,17009432,0.130202,2.319035,0.063654,0.097503,1.736628,0.047668
pdf_closure_module_calc_liquid_cloud_frac_component_2518_2,1,0.000198,261797379,0,8633534,0,0.000000,0.032978,0.000000,0.000000,0.043685,0.000000
pdf_closure_module_calc_ice_cloud_frac_component_2645_3,1,0.000252,336350172,0,0,16364220,0.000000,0.000000,0.048652,0.000000,0.000000,0.064896
pdf_closure_module_calc_ice_cloud_frac_component_2645_4,1,0.000139,262554,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
pdf_closure_module_pdf_closure_1052_1,1,0.000199,270694518,0,34163040,0,0.000000,0.126205,0.000000,0.000000,0.171943,0.000000
pdf_closure_module_pdf_closure_1089_1,1,0.000346,478195694,0,60329920,0,0.000000,0.126162,0.000000,0.000000,0.174324,0.000000
pdf_closure_module_pdf_closure_1107_1,1,0.000186,259037502,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
pdf_closure_module_calc_xprcp_component_3155_1,1,0.001222,1733956616,34830302,479586466,0,0.020087,0.276585,0.000000,0.028496,0.392373,0.000000
pdf_closure_module_calc_xprcp_component_3155_2,1,0.001221,1733918140,34827520,479548160,0,0.020086,0.276569,0.000000,0.028518,0.392671,0.000000
pdf_closure_module_pdf_closure_1202_1,1,0.001091,1521341371,16666412,320233202,0,0.010955,0.210494,0.000000,0.015270,0.293409,0.000000
pdf_closure_module_pdf_closure_1231_1,1,0.000827,1176573728,0,147846868,0,0.000000,0.125659,0.000000,0.000000,0.178725,0.000000
pdf_closure_module_pdf_closure_1350_1,1,0.000182,259083371,0,0,17395312,0.000000,0.000000,0.067142,0.000000,0.000000,0.095336
grid_class_zt2zm_gpu_1650_40,1,0.000197,269670092,0,25486680,0,0.000000,0.094511,0.000000,0.000000,0.129128,0.000000
grid_class_zt2zm_gpu_1666_40,1,0.000007,2621699,0,192390,0,0.000000,0.073384,0.000000,0.000000,0.025693,0.000000
advance_clubb_core_module_pdf_closure_driver_4135_1,1,0.000005,126,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
grid_class_zt2zm_gpu_1650_41,1,0.000197,269980241,0,25573200,0,0.000000,0.094722,0.000000,0.000000,0.129650,0.000000
grid_class_zt2zm_gpu_1666_41,1,0.000008,2621823,0,190470,0,0.000000,0.072648,0.000000,0.000000,0.025009,0.000000
grid_class_zt2zm_gpu_1650_42,1,0.000198,269716687,0,25531080,0,0.000000,0.094659,0.000000,0.000000,0.129080,0.000000
grid_class_zt2zm_gpu_1666_42,1,0.000008,2621820,0,190980,0,0.000000,0.072843,0.000000,0.000000,0.025289,0.000000
grid_class_zt2zm_gpu_1650_43,1,0.000197,269931093,0,25630200,0,0.000000,0.094951,0.000000,0.000000,0.129981,0.000000
grid_class_zt2zm_gpu_1666_43,1,0.000008,2621826,0,179874,0,0.000000,0.068606,0.000000,0.000000,0.023519,0.000000
grid_class_zt2zm_gpu_1650_44,1,0.000198,270085833,0,25621200,0,0.000000,0.094863,0.000000,0.000000,0.129181,0.000000
grid_class_zt2zm_gpu_1666_44,1,0.000008,2621821,0,192090,0,0.000000,0.073266,0.000000,0.000000,0.025012,0.000000
grid_class_zt2zm_gpu_1650_45,1,0.000197,269683994,0,25717440,0,0.000000,0.095361,0.000000,0.000000,0.130636,0.000000
grid_class_zt2zm_gpu_1666_45,1,0.000008,2621699,0,195150,0,0.000000,0.074436,0.000000,0.000000,0.025841,0.000000
grid_class_zt2zm_gpu_1650_46,1,0.000197,269812072,0,25603440,0,0.000000,0.094894,0.000000,0.000000,0.129740,0.000000
grid_class_zt2zm_gpu_1666_46,1,0.000008,2621826,0,195270,0,0.000000,0.074479,0.000000,0.000000,0.025112,0.000000
grid_class_zt2zm_gpu_1650_47,1,0.000198,269873091,0,25666440,0,0.000000,0.095106,0.000000,0.000000,0.129933,0.000000
grid_class_zt2zm_gpu_1666_47,1,0.000007,2621694,0,194850,0,0.000000,0.074322,0.000000,0.000000,0.026133,0.000000
grid_class_zt2zm_gpu_1650_48,1,0.000197,270060732,0,25482840,0,0.000000,0.094360,0.000000,0.000000,0.129045,0.000000
grid_class_zt2zm_gpu_1666_48,1,0.000008,2621698,0,192510,0,0.000000,0.073430,0.000000,0.000000,0.025600,0.000000
grid_class_zt2zm_gpu_1650_49,1,0.000198,269874664,0,25565160,0,0.000000,0.094730,0.000000,0.000000,0.128836,0.000000
grid_class_zt2zm_gpu_1666_49,1,0.000008,2621820,0,192690,0,0.000000,0.073495,0.000000,0.000000,0.025515,0.000000
grid_class_zt2zm_gpu_1650_50,1,0.000198,270017764,0,25674840,0,0.000000,0.095086,0.000000,0.000000,0.129577,0.000000
grid_class_zt2zm_gpu_1666_50,1,0.000008,2621820,0,192690,0,0.000000,0.073495,0.000000,0.000000,0.025515,0.000000
grid_class_zt2zm_gpu_1650_51,1,0.000199,269902064,0,25614000,0,0.000000,0.094901,0.000000,0.000000,0.128833,0.000000
grid_class_zt2zm_gpu_1666_51,1,0.000008,2621694,0,192360,0,0.000000,0.073372,0.000000,0.000000,0.024943,0.000000
advance_clubb_core_module_pdf_closure_driver_4175_1,1,0.000008,129,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
advance_clubb_core_module_pdf_closure_driver_4192_1,1,0.000231,331357829,0,0,17091460,0.000000,0.000000,0.051580,0.000000,0.000000,0.073935
grid_class_zt2zm_gpu_1650_52,1,0.000197,269854128,0,25478160,0,0.000000,0.094415,0.000000,0.000000,0.129462,0.000000
grid_class_zt2zm_gpu_1666_52,1,0.000008,2621821,0,192510,0,0.000000,0.073426,0.000000,0.000000,0.024555,0.000000
advance_clubb_core_module_pdf_closure_driver_4249_1,1,0.000005,129,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
advance_clubb_core_module_clip_rcm_5634_2,1,0.000104,139464823,0,0,17299818,0.000000,0.000000,0.124044,0.000000,0.000000,0.166755
advance_clubb_core_module_compute_cloud_cover_5434_1,1,0.000201,271146920,0,34587520,0,0.000000,0.127560,0.000000,0.000000,0.172166,0.000000
advance_clubb_core_module_compute_cloud_cover_5445_1,1,0.000254,262544466,0,0,16412160,0.000000,0.000000,0.062512,0.000000,0.000000,0.064627
advance_clubb_core_module_compute_cloud_cover_5445_2,1,0.000136,262205,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
advance_clubb_core_module_compute_cloud_cover_5534_1,1,0.000006,1048701,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
advance_clubb_core_module_pdf_closure_driver_4295_1,1,0.000198,258981465,0,0,17453700,0.000000,0.000000,0.067394,0.000000,0.000000,0.088371
t_in_k_module_thlm2t_in_k_2d_140_2,1,0.000204,271378451,17474320,306237458,17474320,0.064391,1.128452,0.064391,0.085685,1.501635,0.085685
saturation_sat_mixrat_liq_2d_379_6,1,0.000107,124404396,0,174848520,17484852,0.000000,1.405485,0.140549,0.000000,1.628134,0.162813
saturation_sat_mixrat_liq_2d_497_6,1,0.000151,198889916,17205480,148317610,0,0.086508,0.745727,0.000000,0.113673,0.979900,0.000000
advance_clubb_core_module_pdf_closure_driver_4309_1,1,0.000245,333205695,17473170,139785360,0,0.052440,0.419517,0.000000,0.071443,0.571542,0.000000
advance_clubb_core_module_pdf_closure_driver_4326_1,1,0.000128,69888994,0,0,16682890,0.000000,0.000000,0.238706,0.000000,0.000000,0.130826
advance_clubb_core_module_pdf_closure_driver_4326_2,1,0.000138,262268,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
